ts	phase	decision	why	evidence	result
2026-08-27T18:14:00Z	frame	limited this run to the development dataset	the untouched holdout cannot be collected before development settings are frozen	data/DATASET.md:8-15	scope fixed
2026-08-27T18:14:00Z	frame	required five distinct solicitation outcomes	the product thesis names pre-solicitation discovery and distinct districts reduce correlated evidence	data/research_outcomes.csv	open
2026-08-27T18:14:00Z	design	kept the existing flat CSV pipeline inputs	the current loader already supports the needed source and outcome records	trajectory.py:158-184	open
2026-08-27T18:20:00Z	design	selected five 2022 solicitation cases before source research	a shared calendar period supports matched controls and prevents signal-based case selection	data/research_outcomes.csv:8-16	locked for scaffold
2026-08-27T18:20:00Z	design	kept research metadata outside trajectory.py	the production pipeline should consume derived ledgers rather than own research workflow	data/development_cases.csv, data/source_inventory.csv	planned
2026-08-27T18:20:00Z	design	skipped architecture competition	the data shape is two flat manifests and one deterministic validator, with no irreversible API	figure-it-out Phase B	mechanical shape
2026-08-27T18:23:00Z	scaffold	added research manifests and validator	the collector needs one rerunnable gate before parallel document research	research_dataset.py, test_research_dataset.py	tests green
2026-08-27T18:23:00Z	scaffold	confirmed complete validation fails on the empty corpus	the gate must reject missing controls and inventories before any sync	research_dataset.py validate --complete	NOT VERIFIED as complete, expected
2026-08-27T20:08:00Z	positive collection	marked Hernando blocked	252 enumerated IQM2 artifacts could not be retrieved even though 548 unique sources passed local validation	data/research/hernando_2022_02_16.csv	BLOCKED
2026-08-27T20:08:00Z	positive collection	retained the 1.46 GB Hernando download set	the files are official source evidence and disk capacity remains sufficient	data/raw/hernando_2022_02_16	INCONCLUSIVE for repository storage
2026-08-28T01:35:00Z	pivot	replaced exhaustive collection with a fixed content-blind sample	the user requested a relevant amount of data rather than every available artifact	user request, data/DATASET.md	sample rule changed
2026-08-28T01:35:00Z	pivot	set 12 to 20 documents per case across the full window	a bounded sample keeps storage manageable without choosing documents for their cybersecurity content	data/development_cases.csv	100 to 160 documents planned
2026-08-28T01:35:00Z	pivot	prune Hernando after deterministic selection	the 1.46 GB exhaustive download exceeds the new scope	data/raw/hernando_2022_02_16	open
2026-08-28T01:40:00Z	positive collection	accepted the Volusia sample	20 official artifacts span the full window with fixed source-class quotas and verified hashes	data/research/volusia_2022_09_12.csv	VERIFIED
2026-08-28T01:41:00Z	positive collection	accepted the Charlotte sample	20 official artifacts span the full window and every local hash matches	data/research/charlotte_2022_01_20.csv	VERIFIED
2026-08-28T01:41:00Z	scaffold	enforced 12 to 20 accepted sources per case	the validator now matches the bounded sample rule	research_dataset.py, test_research_dataset.py	tests green
2026-08-28T01:52:00Z	positive collection	accepted the corrected Miami-Dade sample	20 local artifacts are readable by the production fetch path and remain under the size cap	data/research/miami_dade_2022_04_15.csv	VERIFIED
2026-08-28T01:52:00Z	positive collection	rejected the reported Flagler result	a stale interrupted run overwrote the 28-row sample manifest with 1698 rows after the worker reported success	data/research/flagler_2022_01_21.csv	NOT VERIFIED
2026-08-28T01:52:00Z	positive collection	assigned Flagler repair to a fresh owner	resuming the same worker again would preserve the write race	data/raw/flagler_2022_01_21	repairing
2026-08-28T01:55:00Z	scaffold	enforced a 50 MiB local artifact cap per case	the bounded sample must remain practical to install and inspect	research_dataset.py, test_research_dataset.py	tests green
2026-08-28T02:07:00Z	merge	merged four completed positive samples	the user stopped further research and asked to keep the data already collected	data/source_inventory.csv	72 accepted sources
2026-08-28T02:07:00Z	merge	left Flagler and all controls pending	their repair and selection runs were intentionally stopped	data/development_cases.csv	pending
2026-08-28T19:44:45Z	flagler repair	rebuilt Flagler from the exact 16 surviving raw files	the stale 1698-row worker manifest did not describe the retained bounded sample	data/research/flagler_2022_01_21.csv	16 readable sources, 6945889 bytes
2026-08-28T19:44:45Z	control selection	selected Nassau, Citrus, and Alachua as matched controls	bounded BoardDocs and USAC searches found no cybersecurity procurement outcome; Indian River, St. Lucie, Lake, and Highlands had official cyber purchases and Seminole exposed no meetings	data/research/control_nassau_2022_01_21.csv, data/research/control_citrus_2022_01_20.csv, data/research/control_alachua_2022_02_16.csv	three eligible controls
2026-08-28T19:44:45Z	control collection	kept 12 date-and-source-selected official documents per control	content was not inspected until after sample membership was fixed	data/raw/control_nassau, data/raw/control_citrus, data/raw/control_alachua	36 readable sources, 5734791 bytes
2026-08-28T19:44:45Z	final gate	validated, synced, fetched, and ran both offline test scripts	the complete predicate required the production fetch path and both test suites	data/development_cases.csv, data/source_inventory.csv, data/sources.csv, data/outcomes.csv	5 positives, 3 controls, 124 readable sources, tests green
